Time_Ma,Depth_mbrt
3.87757993,574.9
3.879405139,575
3.881230347,575.1
3.883055555,575.2
3.884880764,575.3
3.886705972,575.4
3.888531181,575.5
3.890356389,575.6
3.892181598,575.7
3.894006806,575.8
3.895832015,575.9
3.897657223,576
3.899482432,576.1
3.90130764,576.2
3.903132848,576.3
3.904958057,576.4
3.906783265,576.5
3.908608474,576.6
3.910433682,576.7
3.912258891,576.8
3.914084099,576.9
3.915909308,577
3.917734516,577.1
3.919559725,577.2
3.921384933,577.3
3.923210141,577.4
3.92503535,577.5
3.926860558,577.6
3.928685767,577.7
3.930510975,577.8
3.932336184,577.9
3.934161392,578
3.935986601,578.1
3.937811809,578.2
3.939637018,578.3
3.941462226,578.4
3.943287434,578.5
3.945112643,578.6
3.946937851,578.7
3.94876306,578.8
3.950588268,578.9
3.952413477,579
3.954238685,579.1
3.956063894,579.2
3.957889102,579.3
3.959714311,579.4
3.961539519,579.5
3.963364727,579.6
3.965189936,579.7
3.967015144,579.8
3.968840353,579.9
3.970665561,580
3.97249077,580.1
3.974315978,580.2
3.976141187,580.3
3.977966395,580.4
3.979791604,580.5
3.981616812,580.6
3.983442021,580.7
3.985267229,580.8
3.987092437,580.9
3.988917646,581
3.990742854,581.1
3.992568063,581.2
3.994393271,581.3
3.99621848,581.4
3.998043688,581.5
3.999868897,581.6
4.001694105,581.7
4.003519314,581.8
4.005344522,581.9
4.00716973,582
4.008994939,582.1
4.010820147,582.2
4.012645356,582.3
4.014470564,582.4
4.016295773,582.5
4.018120981,582.6
4.01994619,582.7
4.021771398,582.8
4.023596607,582.9
4.025421815,583
4.027247023,583.1
4.029072232,583.2
4.03089744,583.3
4.032722649,583.4
4.034547857,583.5
4.036373066,583.6
4.038198274,583.7
4.040023483,583.8
4.041848691,583.9
4.0436739,584
4.045499108,584.1
4.047324316,584.2
4.049149525,584.3
4.050974733,584.4
4.052799942,584.5
4.05462515,584.6
4.056450359,584.7
4.058275567,584.8
4.060100776,584.9
4.061925984,585
4.063751193,585.1
4.065576401,585.2
4.06740161,585.3
4.069226818,585.4
4.071052026,585.5
4.072877235,585.6
4.074702443,585.7
4.076527652,585.8
4.07835286,585.9
4.080178069,586
4.082003277,586.1
4.083828486,586.2
4.085653694,586.3
4.087478903,586.4
4.089304111,586.5
4.091129319,586.6
4.092954528,586.7
4.094779736,586.8
4.096604945,586.9
4.098430153,587
4.100255362,587.1
4.10208057,587.2
4.103905779,587.3
4.105730987,587.4
4.107556196,587.5
4.109381404,587.6
4.111206612,587.7
4.113031821,587.8
4.114857029,587.9
4.116682238,588
4.118507446,588.1
4.120332655,588.2
4.122157863,588.3
4.123983072,588.4
4.12580828,588.5
4.127633489,588.6
4.129458697,588.7
4.131283905,588.8
4.133109114,588.9
4.134934322,589
4.136759531,589.1
4.138584739,589.2
4.140409948,589.3
4.142235156,589.4
4.144060365,589.5
4.145885573,589.6
4.147710782,589.7
4.14953599,589.8
4.151361198,589.9
4.153186407,590
4.155011615,590.1
4.156836824,590.2
4.158662032,590.3
4.160487241,590.4
4.162312449,590.5
4.164137658,590.6
4.165962866,590.7
4.167788075,590.8
4.169613283,590.9
4.171438492,591
4.1732637,591.1
4.175088908,591.2
4.176914117,591.3
4.178739325,591.4
4.180564534,591.5
4.182389742,591.6
4.184214951,591.7
4.186040159,591.8
4.187865368,591.9
4.189690576,592
4.191515785,592.1
4.193340993,592.2
4.195166201,592.3
4.19699141,592.4
4.198816618,592.5
4.200641827,592.6
4.202467035,592.7
4.204292244,592.8
4.206117452,592.9
4.207942661,593
4.209767869,593.1
4.211593078,593.2
4.213418286,593.3
4.215243494,593.4
4.217068703,593.5
4.218893911,593.6
4.22071912,593.7
4.222544328,593.8
4.224369537,593.9
4.226194745,594
4.228019954,594.1
4.229845162,594.2
4.231670371,594.3
4.233495579,594.4
4.235320787,594.5
4.237145996,594.6
4.238971204,594.7
4.240796413,594.8
4.242621621,594.9
4.24444683,595
4.246272038,595.1
4.248097247,595.2
4.249922455,595.3
4.251747664,595.4
4.253572872,595.5
4.255398081,595.6
4.257223289,595.7
4.259048497,595.8
4.260873706,595.9
4.262698914,596
4.264524123,596.1
4.266349331,596.2
4.26817454,596.3
4.269999748,596.4
4.271824957,596.5
4.273650165,596.6
4.275475374,596.7
4.277300582,596.8
4.27912579,596.9
4.280950999,597
4.282776207,597.1
4.284601416,597.2
4.286426624,597.3
4.288251833,597.4
4.290077041,597.5
4.29190225,597.6
4.293727458,597.7
4.295552667,597.8
4.297377875,597.9
4.299203083,598
4.301028292,598.1
4.3028535,598.2
4.304678709,598.3
4.306503917,598.4
4.308329126,598.5
4.310154334,598.6
4.311979543,598.7
4.313804751,598.8
4.31562996,598.9
4.317455168,599
4.319280376,599.1
4.321105585,599.2
4.322930793,599.3
4.324756002,599.4
4.32658121,599.5
4.328406419,599.6
4.330231627,599.7
4.332056836,599.8
4.333882044,599.9
4.335707253,600
4.337532461,600.1
4.339357669,600.2
4.341182878,600.3
4.343008086,600.4
4.344833295,600.5
4.346658503,600.6
4.348483712,600.7
4.35030892,600.8
4.352134129,600.9
4.353959337,601
4.355784546,601.1
4.357609754,601.2
4.359434963,601.3
4.361260171,601.4
4.363085379,601.5
4.364910588,601.6
4.366735796,601.7
4.368561005,601.8
4.370386213,601.9
4.372211422,602
4.37403663,602.1
4.375861839,602.2
4.377687047,602.3
4.379512256,602.4
4.381337464,602.5
4.383162672,602.6
4.384987881,602.7
4.386813089,602.8
4.388638298,602.9
4.390463506,603
4.392288715,603.1
4.394113923,603.2
4.395939132,603.3
4.39776434,603.4
4.399589549,603.5
4.401414757,603.6
4.403239965,603.7
4.405065174,603.8
4.406890382,603.9
4.408715591,604
4.410540799,604.1
4.412366008,604.2
4.414191216,604.3
4.416016425,604.4
4.417841633,604.5
4.419666842,604.6
4.42149205,604.7
4.423317258,604.8
4.425142467,604.9
4.426967675,605
4.428792884,605.1
4.430618092,605.2
4.432443301,605.3
4.434268509,605.4
4.436093718,605.5
4.437918926,605.6
4.439744135,605.7
4.441569343,605.8
4.443394552,605.9
4.44521976,606
4.447044968,606.1
4.448870177,606.2
4.450695385,606.3
4.452520594,606.4
4.454345802,606.5
4.456171011,606.6
4.457996219,606.7
4.459821428,606.8
4.461646636,606.9
4.463471845,607
4.465297053,607.1
4.467122261,607.2
4.46894747,607.3
4.470772678,607.4
4.472597887,607.5
4.474423095,607.6
4.476248304,607.7
4.478073512,607.8
4.479898721,607.9
4.481723929,608
4.483549138,608.1
4.485374346,608.2
4.487199554,608.3
4.489024763,608.4
4.490849971,608.5
4.49267518,608.6
4.494500388,608.7
4.496325597,608.8
4.498150805,608.9
4.499976014,609
4.501801222,609.1
4.503626431,609.2
4.505451639,609.3
4.507276847,609.4
4.509102056,609.5
4.510927264,609.6
4.512752473,609.7
4.514577681,609.8
4.51640289,609.9
4.518228098,610
4.520053307,610.1
4.521878515,610.2
4.523703724,610.3
4.525528932,610.4
4.52735414,610.5
4.529179349,610.6
4.531004557,610.7
4.532829766,610.8
4.534654974,610.9
4.536480183,611
4.538305391,611.1
4.5401306,611.2
4.541955808,611.3
4.543781017,611.4
4.545606225,611.5
4.547431434,611.6
4.549256642,611.7
4.55108185,611.8
4.552907059,611.9
4.554732267,612
4.556557476,612.1
4.558382684,612.2
4.560207893,612.3
4.562033101,612.4
4.56385831,612.5
4.565683518,612.6
4.567508727,612.7
4.569333935,612.8
4.571159143,612.9
4.572984352,613
4.57480956,613.1
4.576634769,613.2
4.578459977,613.3
4.580285186,613.4
4.582110394,613.5
4.583935603,613.6
4.585760811,613.7
4.58758602,613.8
4.589411228,613.9
4.591236436,614
4.593061645,614.1
4.594886853,614.2
4.596712062,614.3
4.59853727,614.4
4.600362479,614.5
4.602187687,614.6
4.604012896,614.7
4.605838104,614.8
4.607663313,614.9
4.609488521,615
4.611313729,615.1
4.613138938,615.2
4.614964146,615.3
4.616789355,615.4
4.618614563,615.5
4.620439772,615.6
4.62226498,615.7
4.624090189,615.8
4.625915397,615.9
4.627740606,616
4.629565814,616.1
4.631391023,616.2
4.633216231,616.3
4.635041439,616.4
4.636866648,616.5
4.638691856,616.6
4.640517065,616.7
4.642342273,616.8
4.644167482,616.9
