Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-26H-7,40-42",241.6,16.093,E+T+0.2P,Holbourn et al. 2024,1.54,0.99,CMUND,Holbourn et al. 2024,1.54,1.63,d18O +0.64‰; d13C +0.00‰,1.34,1.73,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,44-46",241.64,16.097,E+T+0.2P,Holbourn et al. 2024,1.55,1,CMUND,Holbourn et al. 2024,1.55,1.64,d18O +0.64‰; d13C +0.00‰,1.35,1.74,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,48-50",241.68,16.101,E+T+0.2P,Holbourn et al. 2024,1.5,1.15,CMUND,Holbourn et al. 2024,1.5,1.79,d18O +0.64‰; d13C +0.00‰,1.3,1.89,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-7,52-54",241.72,16.104,E+T+0.2P,Holbourn et al. 2024,1.5,1.1,CMUND,Holbourn et al. 2024,1.5,1.74,d18O +0.64‰; d13C +0.00‰,1.3,1.84,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,8-10",242.18,16.107,E+T+0.2P,Holbourn et al. 2024,1.4,1.13,CMUND,Holbourn et al. 2024,1.4,1.77,d18O +0.64‰; d13C +0.00‰,1.2,1.87,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,12-14",242.22,16.111,E+T+0.2P,Holbourn et al. 2024,1.69,1.34,CMUND,Holbourn et al. 2024,1.69,1.98,d18O +0.64‰; d13C +0.00‰,1.49,2.08,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,16-18",242.26,16.115,E+T+0.2P,Holbourn et al. 2024,1.69,1.37,CMUND,Holbourn et al. 2024,1.69,2.01,d18O +0.64‰; d13C +0.00‰,1.49,2.11,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,20-22",242.3,16.119,E+T+0.2P,Holbourn et al. 2024,1.62,1.28,CMUND,Holbourn et al. 2024,1.62,1.92,d18O +0.64‰; d13C +0.00‰,1.42,2.02,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,24-26",242.34,16.123,E+T+0.2P,Holbourn et al. 2024,1.7,1.37,CMUND,Holbourn et al. 2024,1.7,2.01,d18O +0.64‰; d13C +0.00‰,1.5,2.11,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,28-30",242.38,16.127,E+T+0.2P,Holbourn et al. 2024,1.68,1.38,CMUND,Holbourn et al. 2024,1.68,2.02,d18O +0.64‰; d13C +0.00‰,1.48,2.12,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,32-34",242.42,16.131,E+T+0.2P,Holbourn et al. 2024,1.63,1.18,CMUND,Holbourn et al. 2024,1.63,1.82,d18O +0.64‰; d13C +0.00‰,1.43,1.92,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,36-38",242.46,16.134,E+T+0.2P,Holbourn et al. 2024,1.63,1.31,CMUND,Holbourn et al. 2024,1.63,1.95,d18O +0.64‰; d13C +0.00‰,1.43,2.05,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,40-42",242.5,16.138,E+T+0.2P,Holbourn et al. 2024,1.72,1.31,CMUND,Holbourn et al. 2024,1.72,1.95,d18O +0.64‰; d13C +0.00‰,1.52,2.05,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,44-46",242.54,16.142,E+T+0.2P,Holbourn et al. 2024,1.67,1.4,CMUND,Holbourn et al. 2024,1.67,2.04,d18O +0.64‰; d13C +0.00‰,1.47,2.14,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,48-50",242.58,16.146,E+T+0.2P,Holbourn et al. 2024,1.75,1.26,CMUND,Holbourn et al. 2024,1.75,1.9,d18O +0.64‰; d13C +0.00‰,1.55,2,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490B-29F-1,52-54",242.62,16.15,E+T+0.2P,Holbourn et al. 2024,1.72,1.15,CMUND,Holbourn et al. 2024,1.72,1.79,d18O +0.64‰; d13C +0.00‰,1.52,1.89,d18O +0.10‰; d13C -0.20‰,,
